entity,latitude,longitude,decimal_degrees,degrees_minutes_seconds,degrees_decimal_minutes
british indian ocean territory,-6.34,71.88,6.343° S 71.877° E,"6° 20' 35"" S 71° 52' 35"" E",6° 20.58' S 71° 52.62' E
british virgin islands,18.42,-64.64,18.421° N 64.64° W,"18° 25' 15"" N 64° 38' 24"" W",18° 25.26' N 64° 38.4' W
brunei,4.54,114.73,4.535° N 114.728° E,"4° 32' 7"" N 114° 43' 40"" E",4° 32.1' N 114° 43.68' E
bulgaria,42.73,25.49,42.734° N 25.486° E,"42° 44' 2"" N 25° 29' 9"" E",42° 44.04' N 25° 29.16' E
burkina faso,12.24,-1.56,12.238° N 1.562° W,"12° 14' 18"" N 1° 33' 42"" W",12° 14.28' N 1° 33.72' W
burundi,-3.37,29.92,3.373° S 29.919° E,"3° 22' 23"" S 29° 55' 8"" E",3° 22.38' S 29° 55.14' E
cambodia,12.57,104.99,12.566° N 104.991° E,"12° 33' 56"" N 104° 59' 27"" E",12° 33.96' N 104° 59.46' E
cameroon,7.37,12.35,7.37° N 12.355° E,"7° 22' 11"" N 12° 21' 17"" E",7° 22.2' N 12° 21.3' E
canada,56.13,-106.35,56.13° N 106.347° W,"56° 7' 49"" N 106° 20' 48"" W",56° 7.8' N 106° 20.82' W
cape verde,16,-24.01,16.002° N 24.013° W,"16° 0' 7"" N 24° 0' 48"" W",16° 0.12' N 24° 0.78' W
cayman islands,19.51,-80.57,19.513° N 80.567° W,"19° 30' 48"" N 80° 34' 1"" W",19° 30.78' N 80° 34.02' W
central african republic,6.61,20.94,6.611° N 20.939° E,"6° 36' 40"" N 20° 56' 22"" E",6° 36.66' N 20° 56.34' E
chad,15.45,18.73,15.454° N 18.732° E,"15° 27' 15"" N 18° 43' 56"" E",15° 27.24' N 18° 43.92' E
chile,-35.68,-71.54,35.675° S 71.543° W,"35° 40' 31"" S 71° 32' 35"" W",35° 40.5' S 71° 32.58' W
china,35.86,104.2,35.862° N 104.195° E,"35° 51' 42"" N 104° 11' 43"" E",35° 51.72' N 104° 11.7' E
christmas island,-10.45,105.69,10.448° S 105.69° E,"10° 26' 51"" S 105° 41' 26"" E",10° 26.88' S 105° 41.4' E
cocos (keeling) islands,-12.16,96.87,12.164° S 96.871° E,"12° 9' 51"" S 96° 52' 15"" E",12° 9.84' S 96° 52.26' E
colombia,4.57,-74.3,4.571° N 74.297° W,"4° 34' 15"" N 74° 17' 50"" W",4° 34.26' N 74° 17.82' W
comoros,-11.88,43.87,11.875° S 43.872° E,"11° 52' 30"" S 43° 52' 20"" E",11° 52.5' S 43° 52.32' E
cook islands,-21.24,-159.78,21.237° S 159.778° W,"21° 14' 12"" S 159° 46' 40"" W",21° 14.22' S 159° 46.68' W
costa rica,9.75,-83.75,9.749° N 83.753° W,"9° 44' 56"" N 83° 45' 12"" W",9° 44.94' N 83° 45.18' W
cote d'ivoire,7.5,-5.5,7.54° N 5.5471° W,7°32'24'' N 5°32'49.5'' W,7°32.399' N 5°32.825' W
croatia,45.1,15.2,45.1° N 15.2° E,"45° 6' 0"" N 15° 11' 60"" E",45° 6' N 15° 12' E
cuba,21.52,-77.78,21.522° N 77.781° W,"21° 31' 18"" N 77° 46' 52"" W",21° 31.32' N 77° 46.86' W
curacao,12.17,-68.99,12.17° N 68.99° W,"12° 10' 10"" N 68° 59' 24"" W",12° 10.2' N 68° 59.4' W
cyprus,35.13,33.43,35.126° N 33.43° E,"35° 7' 35"" N 33° 25' 47"" E",35° 7.56' N 33° 25.8' E
czechia,49.82,15.47,49.817° N 15.473° E,"49° 49' 3"" N 15° 28' 23"" E",49° 49.02' N 15° 28.38' E
democratic republic of congo,-4.04,21.76,4.038° S 21.759° E,"4° 2' 18"" S 21° 45' 31"" E",4° 2.28' S 21° 45.54' E
denmark,56.26,9.5,56.264° N 9.502° E,"56° 15' 50"" N 9° 30' 6"" E",56° 15.84' N 9° 30.12' E
djibouti,11.83,42.59,11.825° N 42.59° E,"11° 49' 30"" N 42° 35' 25"" E",11° 49.5' N 42° 35.4' E
dominica,15.41,-61.37,15.415° N 61.371° W,"15° 24' 54"" N 61° 22' 16"" W",15° 24.9' N 61° 22.26' W
dominican republic,18.74,-70.16,18.736° N 70.163° W,"18° 44' 8"" N 70° 9' 46"" W",18° 44.16' N 70° 9.78' W
east timor,-9.00,125.64,9.0042° S 125.6486° E,9°0'15'' S 125°38'55'' E,9°0.25' S 125°38.917' E
ecuador,-1.83,-78.18,1.831° S 78.183° W,"1° 49' 52"" S 78° 11' 0"" W",1° 49.86' S 78° 10.98' W
egypt,26.82,30.8,26.821° N 30.802° E,"26° 49' 14"" N 30° 48' 9"" E",26° 49.26' N 30° 48.12' E
el salvador,13.79,-88.9,13.794° N 88.897° W,"13° 47' 39"" N 88° 53' 48"" W",13° 47.64' N 88° 53.82' W
equatorial guinea,1.65,10.27,1.651° N 10.268° E,"1° 39' 3"" N 10° 16' 4"" E",1° 39.06' N 10° 16.08' E
eritrea,15.18,39.78,15.179° N 39.782° E,"15° 10' 46"" N 39° 46' 56"" E",15° 10.74' N 39° 46.92' E
estonia,58.6,25.01,58.595° N 25.014° E,"58° 35' 43"" N 25° 0' 49"" E",58° 35.7' N 25° 0.84' E
eswatini,-26.52,31.46,26.522° S 31.465° E,26°31'21'' S 31°27.952' E,26°31.35' S 31°27.95' E
ethiopia,9.15,40.49,9.145° N 40.49° E,"9° 8' 42"" N 40° 29' 23"" E",9° 8.7' N 40° 29.4' E
falkland islands,-51.8,-59.52,51.796° S 59.524° W,"51° 47' 47"" S 59° 31' 25"" W",51° 47.76' S 59° 31.44' W
faroe islands,61.89,-6.91,61.893° N 6.912° W,"61° 53' 33"" N 6° 54' 43"" W",61° 53.58' N 6° 54.72' W
fiji,-16.58,179.41,16.578° S 179.414° E,"16° 34' 41"" S 179° 24' 52"" E",16° 34.68' S 179° 24.84' E
finland,61.92,25.75,61.924° N 25.748° E,"61° 55' 27"" N 25° 44' 53"" E",61° 55.44' N 25° 44.88' E
france,46.23,2.21,46.228° N 2.214° E,"46° 13' 39"" N 2° 12' 49"" E",46° 13.68' N 2° 12.84' E
french guiana,3.93,-53.13,3.934° N 53.126° W,"3° 56' 2"" N 53° 7' 33"" W",3° 56.04' N 53° 7.56' W
french polynesia,-17.68,-149.41,17.68° S 149.407° W,"17° 40' 47"" S 149° 24' 25"" W",17° 40.8' S 149° 24.42' W
gabon,-0.8,11.61,0.804° S 11.609° E,"0° 48' 13"" S 11° 36' 34"" E",0° 48.24' S 11° 36.54' E
gambia,13.44,-15.31,13.443° N 15.31° W,"13° 26' 35"" N 15° 18' 37"" W",13° 26.58' N 15° 18.6' W
georgia,42.32,43.36,42.315° N 43.357° E,"42° 18' 55"" N 43° 21' 25"" E",42° 18.9' N 43° 21.42' E
germany,51.17,10.45,51.166° N 10.452° E,"51° 9' 56"" N 10° 27' 5"" E",51° 9.96' N 10° 27.12' E
ghana,7.95,-1.02,7.947° N 1.023° W,"7° 56' 47"" N 1° 1' 23"" W",7° 56.82' N 1° 1.38' W
gibraltar,36.14,-5.35,36.138° N 5.345° W,"36° 8' 16"" N 5° 20' 43"" W",36° 8.28' N 5° 20.7' W
greece,39.07,21.82,39.074° N 21.824° E,"39° 4' 27"" N 21° 49' 28"" E",39° 4.44' N 21° 49.44' E
greenland,71.71,-42.6,71.707° N 42.604° W,"71° 42' 25"" N 42° 36' 15"" W",71° 42.42' N 42° 36.24' W
grenada,12.26,-61.6,12.263° N 61.604° W,"12° 15' 46"" N 61° 36' 15"" W",12° 15.78' N 61° 36.24' W
guadeloupe,17,-62.07,16.996° N 62.068° W,"16° 59' 45"" N 62° 4' 4"" W",16° 59.76' N 62° 4.08' W
guam,13.44,144.79,13.444° N 144.794° E,"13° 26' 39"" N 144° 47' 37"" E",13° 26.64' N 144° 47.64' E
guatemala,15.78,-90.23,15.783° N 90.231° W,"15° 47' 0"" N 90° 13' 51"" W",15° 46.98' N 90° 13.86' W
guernsey,49.47,-2.59,49.466° N 2.585° W,"49° 27' 56"" N 2° 35' 7"" W",49° 27.96' N 2° 35.1' W
guinea,9.95,-9.7,9.946° N 9.697° W,"9° 56' 44"" N 9° 41' 48"" W",9° 56.76' N 9° 41.82' W
guinea-bissau,11.8,-15.18,11.804° N 15.18° W,"11° 48' 13"" N 15° 10' 49"" W",11° 48.24' N 15° 10.8' W
guyana,4.86,-58.93,4.86° N 58.93° W,"4° 51' 37"" N 58° 55' 49"" W",4° 51.6' N 58° 55.8' W
haiti,18.97,-72.29,18.971° N 72.285° W,"18° 58' 16"" N 72° 17' 7"" W",18° 58.26' N 72° 17.1' W
honduras,15.2,-86.24,15.2° N 86.242° W,"15° 11' 60"" N 86° 14' 31"" W",15° 12' N 86° 14.52' W
hong kong,22.4,114.11,22.396° N 114.109° E,"22° 23' 47"" N 114° 6' 34"" E",22° 23.76' N 114° 6.54' E
hungary,47.16,19.5,47.162° N 19.503° E,"47° 9' 45"" N 19° 30' 12"" E",47° 9.72' N 19° 30.18' E
iceland,64.96,-19.02,64.963° N 19.021° W,"64° 57' 47"" N 19° 1' 15"" W",64° 57.78' N 19° 1.26' W
india,20.59,78.96,20.594° N 78.963° E,"20° 35' 37"" N 78° 57' 46"" E",20° 35.64' N 78° 57.78' E
indonesia,-0.79,113.92,0.789° S 113.921° E,"0° 47' 21"" S 113° 55' 17"" E",0° 47.34' S 113° 55.26' E
iran,32.43,53.69,32.428° N 53.688° E,"32° 25' 40"" N 53° 41' 17"" E",32° 25.68' N 53° 41.28' E
iraq,33.22,43.68,33.223° N 43.679° E,"33° 13' 23"" N 43° 40' 45"" E",33° 13.38' N 43° 40.74' E
ireland,53.41,-8.24,53.413° N 8.244° W,"53° 24' 46"" N 8° 14' 38"" W",53° 24.78' N 8° 14.64' W
isle of man,54.24,-4.55,54.236° N 4.548° W,"54° 14' 10"" N 4° 32' 53"" W",54° 14.16' N 4° 32.88' W
israel,31.05,34.85,31.046° N 34.852° E,"31° 2' 46"" N 34° 51' 6"" E",31° 2.76' N 34° 51.12' E
italy,41.87,12.57,41.872° N 12.567° E,"41° 52' 19"" N 12° 34' 3"" E",41° 52.32' N 12° 34.02' E
jamaica,18.11,-77.3,18.11° N 77.298° W,"18° 6' 34"" N 77° 17' 51"" W",18° 6.6' N 77° 17.88' W
japan,36.2,138.25,36.205° N 138.253° E,"36° 12' 17"" N 138° 15' 11"" E",36° 12.3' N 138° 15.18' E
jersey,49.21,-2.13,49.214° N 2.131° W,"49° 12' 52"" N 2° 7' 53"" W",49° 12.84' N 2° 7.86' W
jordan,30.59,36.24,30.585° N 36.238° E,"30° 35' 7"" N 36° 14' 18"" E",30° 35.1' N 36° 14.28' E
kazakhstan,48.02,66.92,48.02° N 66.924° E,"48° 1' 10"" N 66° 55' 25"" E",48° 1.2' N 66° 55.44' E
kenya,-0.02,37.91,0.024° S 37.906° E,"0° 1' 25"" S 37° 54' 22"" E",0° 1.44' S 37° 54.36' E
kiribati,-3.37,-168.73,3.37° S 168.734° W,"3° 22' 14"" S 168° 44' 3"" W",3° 22.2' S 168° 44.04' W
kosovo,42.6,20.9,42.603° N 20.903° E,"42° 36' 9"" N 20° 54' 11"" E",42° 36.18' N 20° 54.18' E
kuwait,29.31,47.48,29.312° N 47.482° E,"29° 18' 42"" N 47° 28' 54"" E",29° 18.72' N 47° 28.92' E
kyrgyzstan,41.2,74.77,41.204° N 74.766° E,"41° 12' 16"" N 74° 45' 58"" E",41° 12.24' N 74° 45.96' E
laos,19.86,102.5,19.856° N 102.495° E,"19° 51' 23"" N 102° 29' 44"" E",19° 51.36' N 102° 29.7' E
latvia,56.88,24.6,56.88° N 24.603° E,"56° 52' 47"" N 24° 36' 11"" E",56° 52.8' N 24° 36.18' E
lebanon,33.85,35.86,33.855° N 35.862° E,"33° 51' 17"" N 35° 51' 44"" E",33° 51.3' N 35° 51.72' E
lesotho,-29.61,28.23,29.61° S 28.234° E,"29° 36' 36"" S 28° 14' 1"" E",29° 36.6' S 28° 14.04' E
liberia,6.43,-9.43,6.428° N 9.429° W,"6° 25' 41"" N 9° 25' 46"" W",6° 25.68' N 9° 25.74' W
libya,26.34,17.23,26.335° N 17.228° E,"26° 20' 6"" N 17° 13' 42"" E",26° 20.1' N 17° 13.68' E
liechtenstein,47.17,9.56,47.166° N 9.555° E,"47° 9' 58"" N 9° 33' 19"" E",47° 9.96' N 9° 33.3' E
lithuania,55.17,23.88,55.169° N 23.881° E,"55° 10' 10"" N 23° 52' 53"" E",55° 10.14' N 23° 52.86' E
luxembourg,49.82,6.13,49.815° N 6.13° E,"49° 48' 55"" N 6° 7' 46"" E",49° 48.9' N 6° 7.8' E
macau,22.2,113.54,22.199° N 113.544° E,"22° 11' 55"" N 113° 32' 38"" E",22° 11.94' N 113° 32.64' E
north macedonia,41.61,21.75,41.609° N 21.745° E,"41° 36' 31"" N 21° 44' 43"" E",41° 36.54' N 21° 44.7' E
madagascar,-18.77,46.87,18.767° S 46.869° E,"18° 46' 1"" S 46° 52' 9"" E",18° 46.02' S 46° 52.14' E
malawi,-13.25,34.3,13.254° S 34.302° E,"13° 15' 16"" S 34° 18' 5"" E",13° 15.24' S 34° 18.12' E
malaysia,4.21,101.98,4.21° N 101.976° E,"4° 12' 38"" N 101° 58' 33"" E",4° 12.6' N 101° 58.56' E
maldives,3.2,73.22,3.203° N 73.221° E,"3° 12' 10"" N 73° 13' 14"" E",3° 12.18' N 73° 13.26' E
mali,17.57,-4,17.571° N 3.996° W,"17° 34' 14"" N 3° 59' 46"" W",17° 34.26' N 3° 59.76' W
malta,35.94,14.38,35.937° N 14.375° E,"35° 56' 15"" N 14° 22' 31"" E",35° 56.22' N 14° 22.5' E
marshall islands,7.13,171.18,7.131° N 171.184° E,"7° 7' 53"" N 171° 11' 4"" E",7° 7.86' N 171° 11.04' E
martinique,14.64,-61.02,14.642° N 61.024° W,"14° 38' 30"" N 61° 1' 27"" W",14° 38.52' N 61° 1.44' W
mauritania,21.01,-10.94,21.008° N 10.941° W,"21° 0' 28"" N 10° 56' 27"" W",21° 0.48' N 10° 56.46' W
mauritius,-20.35,57.55,20.348° S 57.552° E,"20° 20' 54"" S 57° 33' 8"" E",20° 20.88' S 57° 33.12' E
mayotte,-12.83,45.17,12.828° S 45.166° E,"12° 49' 39"" S 45° 9' 58"" E",12° 49.68' S 45° 9.96' E
mexico,23.63,-102.55,23.635° N 102.553° W,"23° 38' 4"" N 102° 33' 10"" W",23° 38.1' N 102° 33.18' W
micronesia (country),7.43,150.55,7.426° N 150.551° E,"7° 25' 32"" N 150° 33' 3"" E",7° 25.56' N 150° 33.06' E
moldova,47.41,28.37,47.412° N 28.37° E,"47° 24' 42"" N 28° 22' 12"" E",47° 24.72' N 28° 22.2' E
monaco,43.75,7.41,43.75° N 7.413° E,"43° 45' 1"" N 7° 24' 46"" E",43° 45' N 7° 24.78' E
mongolia,46.86,103.85,46.862° N 103.847° E,"46° 51' 45"" N 103° 50' 48"" E",46° 51.72' N 103° 50.82' E
montenegro,42.71,19.37,42.709° N 19.374° E,"42° 42' 31"" N 19° 22' 28"" E",42° 42.54' N 19° 22.44' E
montserrat,16.74,-62.19,16.742° N 62.187° W,"16° 44' 33"" N 62° 11' 15"" W",16° 44.52' N 62° 11.22' W
morocco,31.79,-7.09,31.792° N 7.093° W,"31° 47' 30"" N 7° 5' 33"" W",31° 47.52' N 7° 5.58' W
mozambique,-18.67,35.53,18.666° S 35.53° E,"18° 39' 57"" S 35° 31' 46"" E",18° 39.96' S 35° 31.8' E
myanmar,21.91,95.96,21.914° N 95.956° E,"21° 54' 50"" N 95° 57' 22"" E",21° 54.84' N 95° 57.36' E
namibia,-22.96,18.49,22.958° S 18.49° E,"22° 57' 28"" S 18° 29' 25"" E",22° 57.48' S 18° 29.4' E
nauru,-0.52,166.93,0.523° S 166.932° E,"0° 31' 22"" S 166° 55' 53"" E",0° 31.38' S 166° 55.92' E
nepal,28.39,84.12,28.395° N 84.124° E,"28° 23' 41"" N 84° 7' 26"" E",28° 23.7' N 84° 7.44' E
netherlands,52.13,5.29,52.133° N 5.291° E,"52° 7' 57"" N 5° 17' 29"" E",52° 7.98' N 5° 17.46' E
netherlands antilles,12.23,-69.06,12.226° N 69.06° W,"12° 13' 34"" N 69° 3' 36"" W",12° 13.56' N 69° 3.6' W
new caledonia,-20.9,165.62,20.904° S 165.618° E,"20° 54' 15"" S 165° 37' 5"" E",20° 54.24' S 165° 37.08' E
new zealand,-40.9,174.89,40.901° S 174.886° E,"40° 54' 2"" S 174° 53' 9"" E",40° 54.06' S 174° 53.16' E
nicaragua,12.87,-85.21,12.865° N 85.207° W,"12° 51' 55"" N 85° 12' 26"" W",12° 51.9' N 85° 12.42' W
niger,17.61,08.08,17.608° N 8.082° E,"17° 36' 28"" N 8° 4' 54"" E",17° 36.48' N 8° 4.92' E
nigeria,09.08,8.68,9.082° N 8.675° E,"9° 4' 55"" N 8° 40' 31"" E",9° 4.92' N 8° 40.5' E
niue,-19.05,-169.87,19.054° S 169.867° W,"19° 3' 16"" S 169° 52' 2"" W",19° 3.24' S 169° 52.02' W
norfolk island,-29.04,167.95,29.041° S 167.955° E,"29° 2' 27"" S 167° 57' 17"" E",29° 2.46' S 167° 57.3' E
north korea,40.34,127.51,40.34° N 127.51° E,"40° 20' 23"" N 127° 30' 36"" E",40° 20.4' N 127° 30.6' E
northern mariana islands,17.33,145.38,17.331° N 145.385° E,"17° 19' 51"" N 145° 23' 5"" E",17° 19.86' N 145° 23.1' E
norway,60.47,8.47,60.472° N 8.469° E,"60° 28' 19"" N 8° 28' 8"" E",60° 28.32' N 8° 28.14' E
oman,21.51,55.92,21.513° N 55.923° E,"21° 30' 45"" N 55° 55' 24"" E",21° 30.78' N 55° 55.38' E
pakistan,30.38,69.35,30.375° N 69.345° E,"30° 22' 31"" N 69° 20' 42"" E",30° 22.5' N 69° 20.7' E
palau,7.51,134.58,7.515° N 134.583° E,"7° 30' 54"" N 134° 34' 57"" E",7° 30.9' N 134° 34.98' E
palestine,35.2,31.9,31.9522° N 35.2332° E,31°57'7.8'' N 35°13'59.4'' E,31°57.13' N 35°13.989' E
panama,8.54,-80.78,8.538° N 80.782° W,"8° 32' 17"" N 80° 46' 56"" W",8° 32.28' N 80° 46.92' W
papua new guinea,-6.31,143.96,6.315° S 143.956° E,"6° 18' 54"" S 143° 57' 20"" E",6° 18.9' S 143° 57.36' E
paraguay,-23.44,-58.44,23.443° S 58.444° W,"23° 26' 33"" S 58° 26' 38"" W",23° 26.58' S 58° 26.64' W
peru,-9.19,-75.02,9.19° S 75.015° W,"9° 11' 24"" S 75° 0' 55"" W",9° 11.4' S 75° 0.9' W
philippines,12.88,121.77,12.88° N 121.774° E,"12° 52' 47"" N 121° 46' 26"" E",12° 52.8' N 121° 46.44' E
pitcairn islands,-24.7,-127.44,24.704° S 127.439° W,"24° 42' 13"" S 127° 26' 22"" W",24° 42.24' S 127° 26.34' W
poland,51.92,19.15,51.919° N 19.145° E,"51° 55' 10"" N 19° 8' 42"" E",51° 55.14' N 19° 8.7' E
portugal,39.4,-8.22,39.4° N 8.224° W,"39° 23' 60"" N 8° 13' 28"" W",39° 24' N 8° 13.44' W
puerto rico,18.22,-66.59,18.221° N 66.59° W,"18° 13' 15"" N 66° 35' 25"" W",18° 13.26' N 66° 35.4' W
qatar,25.35,51.18,25.355° N 51.184° E,"25° 21' 17"" N 51° 11' 2"" E",25° 21.3' N 51° 11.04' E
republic of the congo,-0.23,15.83,0.228° S 15.828° E,"0° 13' 41"" S 15° 49' 40"" E",0° 13.68' S 15° 49.68' E
reunion,-21.12,55.54,21.115° S 55.536° E,"21° 6' 55"" S 55° 32' 11"" E",21° 6.9' S 55° 32.16' E
romania,45.94,24.97,45.943° N 24.967° E,"45° 56' 35"" N 24° 58' 0"" E",45° 56.58' N 24° 58.02' E
russia,61.52,105.32,61.524° N 105.319° E,"61° 31' 26"" N 105° 19' 8"" E",61° 31.44' N 105° 19.14' E
rwanda,-1.94,29.87,1.94° S 29.874° E,"1° 56' 25"" S 29° 52' 26"" E",1° 56.4' S 29° 52.44' E
saint barthelemy,17.9,-62.83,17.9° N 62.833° W,"17° 53' 60"" N 62° 49' 60"" W",17° 54' N 62° 49.98' W
saint helena,-24.14,-10.03,24.143° S 10.031° W,"24° 8' 37"" S 10° 1' 51"" W",24° 8.58' S 10° 1.86' W
saint kitts and nevis,17.36,-62.78,17.358° N 62.783° W,"17° 21' 28"" N 62° 46' 59"" W",17° 21.48' N 62° 46.98' W
saint lucia,13.91,-60.98,13.909° N 60.979° W,"13° 54' 34"" N 60° 58' 44"" W",13° 54.54' N 60° 58.74' W
saint martin,18.07,-63.05,18.071° N 63.05° W,"18° 4' 15"" N 63° 3' 0"" W",18° 4.26' N 63° 3' W
saint pierre and miquelon,46.94,-56.27,46.942° N 56.271° W,"46° 56' 31"" N 56° 16' 16"" W",46° 56.52' N 56° 16.26' W
saint vincent and the grenadines,12.98,-61.29,12.984° N 61.287° W,"12° 59' 3"" N 61° 17' 14"" W",12° 59.04' N 61° 17.22' W
samoa,-13.76,-172.1,13.759° S 172.105° W,"13° 45' 33"" S 172° 6' 17"" W",13° 45.54' S 172° 6.3' W
san marino,43.94,12.46,43.942° N 12.458° E,"43° 56' 32"" N 12° 27' 28"" E",43° 56.52' N 12° 27.48' E
sao tome and principe,0.19,6.61,0.186° N 6.613° E,"0° 11' 11"" N 6° 36' 47"" E",0° 11.16' N 6° 36.78' E
saudi arabia,23.89,45.08,23.886° N 45.079° E,"23° 53' 9"" N 45° 4' 45"" E",23° 53.16' N 45° 4.74' E
senegal,14.5,-14.45,14.497° N 14.452° W,"14° 29' 51"" N 14° 27' 9"" W",14° 29.82' N 14° 27.12' W
serbia,44.02,21.01,44.017° N 21.006° E,"44° 0' 59"" N 21° 0' 21"" E",44° 1.02' N 21° 0.36' E
seychelles,-4.68,55.49,4.68° S 55.492° E,"4° 40' 46"" S 55° 29' 31"" E",4° 40.8' S 55° 29.52' E
sierra leone,8.46,-11.78,8.461° N 11.78° W,"8° 27' 38"" N 11° 46' 48"" W",8° 27.66' N 11° 46.8' W
singapore,1.35,103.82,1.352° N 103.82° E,"1° 21' 7"" N 103° 49' 11"" E",1° 21.12' N 103° 49.2' E
sint maarten,18.03,-63.05,18.025° N 63.049° W,"18° 1' 31"" N 63° 2' 57"" W",18° 1.5' N 63° 2.94' W
slovakia,48.67,19.7,48.669° N 19.699° E,"48° 40' 8"" N 19° 41' 56"" E",48° 40.14' N 19° 41.94' E
slovenia,46.15,15,46.151° N 14.995° E,"46° 9' 4"" N 14° 59' 44"" E",46° 9.06' N 14° 59.7' E
solomon islands,-9.65,160.16,9.646° S 160.156° E,"9° 38' 45"" S 160° 9' 22"" E",9° 38.76' S 160° 9.36' E
somalia,5.15,46.2,5.152° N 46.2° E,"5° 9' 8"" N 46° 11' 59"" E",5° 9.12' N 46° 12' E
south africa,-30.56,22.94,30.559° S 22.938° E,"30° 33' 34"" S 22° 56' 15"" E",30° 33.54' S 22° 56.28' E
south georgia and the south sandwich islands,-54.43,-36.59,54.43° S 36.588° W,"54° 25' 46"" S 36° 35' 16"" W",54° 25.8' S 36° 35.28' W
south korea,35.91,127.77,35.908° N 127.767° E,"35° 54' 28"" N 127° 46' 1"" E",35° 54.48' N 127° 46.02' E
spain,40.46,-3.75,40.464° N 3.749° W,"40° 27' 49"" N 3° 44' 57"" W",40° 27.84' N 3° 44.94' W
